店名,評価,レビュー数,ブックマーク数,代表味分類,住所,市町村,URL
啜り処 粋元,3.02,6,60,不明,大分県佐伯市向島2-11-33佐伯セントラルホテル 1F,佐伯市,https://tabelog.com/oita/A4401/A440105/44013617/
一ちゃんラーメン,3.00,3,28,塩,大分県大分市城崎町1-2-21,大分市,https://tabelog.com/oita/A4401/A440101/44012104/
ラーメン おいでやす,3.06,6,45,味噌,大分県別府市石垣東6-6-3,別府市,https://tabelog.com/oita/A4402/A440202/44014032/
ラーメン亭 堀川店,3.02,6,51,豚骨,大分県大分市都町3-5-18,大分市,https://tabelog.com/oita/A4401/A440101/44003388/
全麺類に告ぐ 天を穿つ 湯布院本店,-,3,15,つけ麺,大分県由布市湯布院町川上3050-23日田屋ビル 2F,由布市,https://tabelog.com/oita/A4402/A440201/44013524/
めん六や 大分日田店,-,-,9,不明,大分県日田市大字友田字森ノ木747-1,日田市,https://tabelog.com/oita/A4404/A440403/44010070/
十五万石ラーメン,3.03,7,56,不明,大分県竹田市会々1861-9,竹田市,https://tabelog.com/oita/A4401/A440102/44001508/
キッチン和,3.02,1,6,不明,大分県別府市北石垣82別府大学,別府市,https://tabelog.com/oita/A4402/A440202/44009870/
滝むら,-,1,10,不明,大分県豊後大野市緒方町原尻933-1,豊後大野市,https://tabelog.com/oita/A4401/A440103/44002760/
一晃,3.02,2,26,激辛,大分県佐伯市中の島1-10-41,佐伯市,https://tabelog.com/oita/A4401/A440105/44001493/
ラーメン食堂 太士,3.01,2,13,豚骨,大分県日田市三本松1-12-8,日田市,https://tabelog.com/oita/A4404/A440403/44011612/
ラーメン 華,3.01,2,13,豚骨,大分県豊後大野市三重町宮野2791-1道の駅みえ,豊後大野市,https://tabelog.com/oita/A4401/A440103/44013951/
佐伯らーめん 皆心,3.04,6,95,つけ麺,大分県佐伯市中村東町2-19,佐伯市,https://tabelog.com/oita/A4401/A440105/44011102/
ラーメン武 別府店,3.04,5,77,醤油,大分県別府市上人西3-1,別府市,https://tabelog.com/oita/A4402/A440202/44014184/
ヌードルアンドバー エス,-,-,2,不明,大分県日田市中本町803-5,日田市,https://tabelog.com/oita/A4404/A440403/44011395/
カタリヨ,3.01,3,95,不明,大分県玖珠郡玖珠町帆足371,玖珠郡玖珠町,https://tabelog.com/oita/A4404/A440404/44004862/
ラーメンとん太 戸次店,3.01,5,22,味噌,大分県大分市大字中戸次4738-2,大分市,https://tabelog.com/oita/A4401/A440101/44013582/
レストラン菅原,3.06,5,102,豚骨,大分県大分市大字里1418-1,大分市,https://tabelog.com/oita/A4401/A440101/44007440/
麺屋 一角,3.05,9,301,豚骨,大分県日田市元町18-11,日田市,https://tabelog.com/oita/A4404/A440403/44010520/
